! HTML5 standard,HTML web browser features,Adobe Flash/AIR features
Date started,Work began in 2003 Working Draft as of 2011[3],N/A
Desktop operating systems,N/A,"{{yes|AmigaOS, MorphOS, Apple macOS, Linux, Microsoft Windows}}"
Mobile operating systems,N/A,"{{yes|Android 2.3+,[5] Apple iOS 6+,[5] Symbian Belle+,[5] BlackBerry OS 7+,[5] Windows Phone 8+,[5] }}"
Video game consoles,N/A,"{{yes| Sony PlayStation 3,[11][12][13] Xbox 360,[11][14] Nintendo Wii,[11][15][16][17] PlayStation Vita}}"
Device support,N/A,"{{depends|Limited access to web camera, microphone, accelerometer, GPS}}"
Market penetration,N/A,"{{yes|~96% of internet connected PCs are CSS 2/3 ACID compliant,[18] ~99% support JavaScript 1.5 or above,[19] ~97% of devices support basic SVG[20]}}"
Vector graphics formats,N/A,{{yes|Scalable Vector Graphics (SVG) supported on ~97% of browsers[20]}}
Bitmap effects,{{yes}},"{{yes|90+%[24] support of Filters in CSS3 (e.g. Glow, Blur, Drop Shadow, Sepia)[25]}}"
Vector text display,{{yes}},{{yes}}
Font support,N/A,{{yes|Installed fonts and custom fonts using CSS 3 web fonts}}
Text anti-aliasing,N/A,"{{yes}}, implemented in most browsers, for system and custom fonts"
Text tab stops,{{no}},{{depends|Only supported inside "pre" tags}}
Liquid text layout,{{yes}},"{{yes}}, via "div" tag and CSS styling"
Tabular data,{{yes}},"{{yes}}, via "table" tag"
Linked text frames{{note|a|1}},"{{depends|{{As of|2016}}, two specifications compete: CSS Regions[28] and CSS Overflow[29]}}","{{depends|With CSS Regions, supported by Safari, IE11 and Edge}}[30]"
Programming languages,{{depends}},{{yes|JavaScript}}
C++ support,{{yes|Cross-compiling C++ code to JavaScript via Emscripten}},"{{depends|Native code execution with Google Native Client in Google Chrome, also supported with WebAssembly (experimental)}}"
Code delivery format,Plaintext,"Plaintext JavaScript with limited obfuscation, WebAssembly bytecode (experimental), GLSL for GPUs, in Canvas elements"
Data formats,{{depends}},"{{yes|CSS 3, HTML, XML, JSON}}[33]"
Data compression,{{no}},"{{yes|GZIP compression for HTML, JS and CSS files[35]}}"
Image formats,{{depends}},"{{yes|PNG, JPEG, Animated GIF}}"
Video formats,{{depends}},{{yes|90+% support of H.264;[38] varying support of WebM and Ogg Theora (see HTML5 video)}}
Streaming video,{{yes}}[40],"{{yes|Supported by IE, Edge, Firefox, Chrome, Safari and Opera.}}[41]"
Audio formats,{{depends}},"{{yes|~94% support of MP3,[42] AAC[43] and WAV PCM; varying support of Ogg Vorbis, and WebM Vorbis (see HTML5 audio)}}"
Fullscreen support,{{yes}}[44],"{{yes|Supported on all major desktop browsers, with warning displayed.[45] Not yet widely supported on mobile}}"
Encryption DRM,{{depends}},"{{depends|~65% support of audio/video files.[46] All other files being plaintext, except for obfuscation}}"
File system access,{{depends}},"{{depends|~87% support of single file upload, and drag and drop of files onto browser[47]}}"
Bitmap manipulation,{{depends}},{{yes|~95% support for canvas element[50]}}
Binary manipulation,{{yes}},"{{yes}}, via JavaScript Typed Arrays[52]"
Large binary data,{{no}},{{depends|Via Web Sockets to stream binary or XML data}}
Offline storage,{{depends}},"{{yes}}, via Web storage, HTTP cookie, or Indexed DB to store binary, XML or JSON data[55]"
Metadata,{{yes|Meta tags}},{{yes|Can be included in meta tags}}
